Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Vitamin A, RAE",Vitamin D3 (cholecalciferol),"Calcium, Ca","Magnesium, Mg"
"Chicken, breast, boneless, skinless, raw",106,22.5,1.93,-0.368,,,3.94,26.2
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166,32.1,3.24,0.0,,,6.0,32.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156,23.9,5.95,0.0,7.0,0.1,12.0,22.4
"Chicken, ground, with additives, raw",133,17.9,7.16,0.0,,,5.82,20.5
"Chicken, thigh, boneless, skinless, raw",144,18.6,7.92,-0.406,,,5.65,21.8
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220,27.1,11.6,0.0,30.0,,31.0,29.1
"Turkey, ground, 93% lean/ 7% fat, raw",153,17.3,9.59,0.0,,,23.6,17.3
