Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",159.0,5.82,1.5,31.5,77.0,12.0,45.0
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",362.0,13.5,2.68,73.1,366.0,27.0,104.0
"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",340.0,13.2,2.5,72.0,363.0,34.0,137.0
"Beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk",65.0,3.3,3.3,5.6,172.0,119.0,16.0
"Snacks, M&M MARS, KUDOS Whole Grain Bar, chocolate chip",420.0,4.47,13.0,72.3,279.0,1080.0,70.0
"Snacks, M&M MARS, KUDOS Whole Grain Bars, peanut butter",463.0,5.88,20.8,64.7,,871.0,
"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",123.0,2.74,0.97,25.6,86.0,3.0,39.0
"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",367.0,7.54,3.2,76.2,250.0,9.0,116.0
"Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program)",112.0,2.32,0.83,23.5,79.0,10.0,44.0
"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",362.0,7.5,2.68,76.2,268.0,33.0,143.0
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",503.0,0.0,28.6,61.6,214.0,285.0,69.0
"Bread, gluten-free, whole grain, made with tapioca starch and brown rice flour",309.0,7.25,9.34,49.1,123.0,60.0,31.0
"Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour",329.0,11.8,11.6,44.3,273.0,118.0,96.0
"School Lunch, pizza, cheese topping, thick crust, whole grain, frozen, cooked",254.0,14.6,9.27,28.1,303.0,193.0,40.0
"School Lunch, pizza, cheese topping, thin crust, whole grain, frozen, cooked",247.0,12.7,7.91,31.3,348.0,218.0,51.0
"School Lunch, pizza, pepperoni topping, thick crust, whole grain, frozen, cooked",259.0,14.4,9.82,28.3,308.0,155.0,41.0
"School Lunch, pizza, pepperoni topping, thin crust, whole grain, frozen, cooked",254.0,12.8,8.62,31.2,382.0,202.0,51.0
"School Lunch, pizza, sausage topping, thick crust, whole grain, frozen, cooked",257.0,13.3,9.07,30.6,282.0,168.0,23.0
"School Lunch, pizza, sausage topping, thin crust, whole grain, frozen, cooked",250.0,12.6,7.83,32.2,385.0,238.0,52.0
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",386.0,7.5,4.9,78.1,184.0,15.0,112.0
"Snacks, M&M MARS, KUDOS Whole Grain Bar, M&M's milk chocolate",415.0,3.78,12.0,73.0,,943.0,
