Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",83.0,0.51,0.09,21.4,77.7,0.29,1.6,134.0,8.0,11.0
"Apricots, canned, heavy syrup, drained",83.0,0.64,0.11,21.3,77.6,0.38,2.7,143.0,7.0,4.0
"Apricots, canned, juice pack, with skin, solids and liquids",48.0,0.63,0.04,12.3,86.6,0.37,1.6,165.0,10.0,4.0
"Apricots, canned, light syrup pack, with skin, solids and liquids",63.0,0.53,0.05,16.5,82.6,0.37,1.6,138.0,8.0,4.0
"Apricots, canned, water pack, with skin, solids and liquids",27.0,0.71,0.16,6.39,92.4,0.38,1.6,192.0,7.0,3.0
"Apricots, canned, water pack, without skin, solids and liquids",22.0,0.69,0.03,5.48,93.4,0.38,1.1,154.0,9.0,11.0
"Apricots, dehydrated (low-moisture), sulfured, stewed",126.0,1.93,0.24,32.6,63.6,1.61,,728.0,25.0,5.0
"Apricots, dehydrated (low-moisture), sulfured, uncooked",320.0,4.9,0.62,82.9,7.5,4.09,,1850.0,63.0,13.0
"Apricots, dried, sulfured, stewed, with added sugar",113.0,1.17,0.15,29.3,68.4,0.98,4.1,443.0,15.0,3.0
"Apricots, dried, sulfured, stewed, without added sugar",85.0,1.2,0.18,22.2,75.6,0.91,2.6,411.0,11.0,4.0
"Apricots, dried, sulfured, uncooked",241.0,3.39,0.51,62.6,30.9,2.57,7.3,1160.0,32.0,10.0
"Apricots, frozen, sweetened",98.0,0.7,0.1,25.1,73.3,0.8,2.2,229.0,9.0,4.0
"Apricots, raw",48.0,1.4,0.39,11.1,86.4,0.75,2.0,259.0,10.0,1.0
"Avocados, raw, all commercial varieties",160.0,2.0,14.7,8.53,73.2,1.58,6.7,485.0,29.0,7.0
"Avocados, raw, California",167.0,1.96,15.4,8.64,72.3,1.66,6.8,507.0,29.0,8.0
"Avocados, raw, Florida",120.0,2.23,10.1,7.82,78.8,1.08,5.6,351.0,24.0,2.0
"Bananas, dehydrated, or banana powder",346.0,3.89,1.81,88.3,3.0,3.02,9.9,1490.0,108.0,3.0
"Bananas, raw",89.0,1.09,0.33,22.8,74.9,0.82,2.6,358.0,27.0,1.0
Baobab powder,250.0,3.69,0.47,79.6,10.9,5.28,44.5,2190.0,158.0,10.0
"Blackberries, canned, heavy syrup, solids and liquids",92.0,1.31,0.14,23.1,75.1,0.39,3.4,99.0,17.0,3.0
"Blackberries, frozen, unsweetened",64.0,1.18,0.43,15.7,82.2,0.51,5.0,140.0,22.0,1.0
"Blackberries, raw",43.0,1.39,0.49,9.61,88.2,0.37,5.3,162.0,20.0,1.0
"Blackberry juice, canned",38.0,0.3,0.6,7.8,90.9,0.4,0.1,135.0,21.0,1.0
"Blueberries, canned, heavy syrup, solids and liquids",88.0,0.65,0.33,22.1,76.8,0.17,1.6,40.0,4.0,3.0
"Blueberries, canned, light syrup, drained",88.0,1.04,0.4,22.7,75.7,0.18,2.6,54.0,4.0,3.0
"Blueberries, dried, sweetened",317.0,2.5,2.5,80.0,14.8,0.73,7.5,214.0,18.0,3.0
"Blueberries, frozen, sweetened",85.0,0.4,0.13,22.0,77.4,0.12,2.2,60.0,2.0,1.0
"Blueberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",51.0,0.42,0.64,12.2,86.6,0.18,2.7,54.0,5.0,1.0
"Blueberries, raw",57.0,0.74,0.33,14.5,84.2,0.24,2.4,77.0,6.0,1.0
"Blueberries, wild, canned, heavy syrup, drained",107.0,0.56,0.34,28.3,70.6,0.15,4.9,46.0,6.0,1.0
"Blueberries, wild, frozen (Includes foods for USDA's Food Distribution Program)",57.0,0.0,0.16,13.8,85.8,0.19,4.4,68.0,7.0,3.0
"Boysenberries, canned, heavy syrup",88.0,0.99,0.12,22.3,76.3,0.32,2.6,90.0,11.0,3.0
"Boysenberries, frozen, unsweetened",50.0,1.1,0.26,12.2,85.9,0.54,5.3,139.0,16.0,1.0
"Breadfruit, raw",103.0,1.07,0.23,27.1,70.6,0.93,4.9,490.0,25.0,2.0
"Carambola, (starfruit), raw",31.0,1.04,0.33,6.73,91.4,0.52,2.8,133.0,10.0,2.0
"Carissa, (natal-plum), raw",62.0,0.5,1.3,13.6,84.2,0.4,,260.0,16.0,3.0
"Cherimoya, raw",75.0,1.57,0.68,17.7,79.4,0.65,3.0,287.0,17.0,7.0
"Cherries, sour, canned, water pack, drained",42.0,0.69,0.21,10.4,88.3,0.34,1.2,115.0,8.0,4.0
"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",114.0,0.71,0.09,29.2,69.7,0.24,0.8,91.0,5.0,7.0
"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",91.0,0.73,0.1,23.3,75.7,0.25,1.1,93.0,6.0,7.0
"Cherries, sour, red, canned, light syrup pack, solids and liquids",75.0,0.74,0.1,19.3,79.6,0.25,0.8,95.0,6.0,7.0
"Cherries, sour, red, canned, water pack, solids and liquids",36.0,0.77,0.1,8.94,89.9,0.26,1.1,98.0,6.0,7.0
"Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",46.0,0.92,0.44,11.0,87.2,0.42,1.6,124.0,9.0,1.0
"Cherries, sour, red, raw",50.0,1.0,0.3,12.2,86.1,0.4,1.6,173.0,9.0,3.0
"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",102.0,0.59,0.15,26.2,72.7,0.37,1.5,142.0,8.0,3.0
"Cherries, sweet, canned, juice pack, solids and liquids",54.0,0.91,0.02,13.8,85.0,0.31,1.5,131.0,12.0,3.0
"Cherries, sweet, canned, light syrup pack, solids and liquids",67.0,0.61,0.15,17.3,81.6,0.38,1.5,148.0,9.0,3.0
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",83.0,0.6,0.15,21.3,77.6,0.38,1.4,145.0,9.0,3.0
"Cherries, sweet, canned, pitted, heavy syrup, drained",83.0,0.73,0.21,21.1,77.6,0.39,2.3,148.0,9.0,3.0
"Cherries, sweet, canned, water pack, solids and liquids",46.0,0.77,0.13,11.8,87.0,0.29,1.5,131.0,9.0,1.0
"Cherries, sweet, raw",63.0,1.06,0.2,16.0,82.2,0.48,2.1,222.0,11.0,0.0
"Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)",333.0,1.25,0.73,80.4,16.6,0.97,2.5,376.0,22.0,13.0
"Cherry juice, tart",59.0,0.31,0.54,13.7,85.2,0.28,,161.0,11.0,4.0
"Clementines, raw",47.0,0.85,0.15,12.0,86.6,0.4,1.7,177.0,10.0,1.0
"Crabapples, raw",76.0,0.4,0.3,20.0,78.9,0.42,,194.0,7.0,1.0
"Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)",308.0,0.17,1.09,82.8,15.8,0.15,5.3,49.0,4.0,5.0
"Cranberries, raw",46.0,0.46,0.13,12.0,87.3,0.12,3.6,80.0,6.0,2.0
"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",45.0,0.27,0.12,10.9,88.6,0.1,0.1,76.0,5.0,6.0
"Cranberry juice, unsweetened",46.0,0.39,0.13,12.2,87.1,0.15,0.1,77.0,6.0,2.0
"Cranberry sauce, canned, sweetened",159.0,0.9,0.15,40.4,58.4,0.1,1.1,28.0,2.0,5.0
"Cranberry sauce, jellied, canned, OCEAN SPRAY",160.0,1.05,0.04,40.6,58.2,0.1,1.0,34.0,2.0,5.0
"Cranberry sauce, whole, canned, OCEAN SPRAY",158.0,0.75,0.05,40.4,58.7,0.1,1.2,21.0,2.0,5.0
"Cranberry-orange relish, canned",178.0,0.3,0.1,46.2,53.2,0.2,0.0,38.0,4.0,32.0
"Currants, european black, raw",63.0,1.4,0.41,15.4,82.0,0.86,,322.0,24.0,2.0
"Currants, red and white, raw",56.0,1.4,0.2,13.8,84.0,0.66,4.3,275.0,13.0,1.0
"Currants, zante, dried",290.0,3.43,0.22,77.0,17.6,1.77,4.4,777.0,36.0,43.0
"Custard-apple, (bullock's-heart), raw",101.0,1.7,0.6,25.2,71.5,1.0,2.4,382.0,18.0,4.0
"Dates, deglet noor",282.0,2.45,0.39,75.0,20.5,1.6,8.0,656.0,43.0,2.0
"Dates, medjool",277.0,1.81,0.15,75.0,21.3,1.74,6.7,696.0,54.0,1.0
"Durian, raw or frozen",147.0,1.47,5.33,27.1,65.0,1.12,3.8,436.0,30.0,2.0
"Elderberries, raw",73.0,0.66,0.5,18.4,79.8,0.64,7.0,280.0,5.0,6.0
"Feijoa, raw",61.0,0.71,0.42,15.2,83.3,0.38,6.4,172.0,9.0,3.0
"Figs, canned, extra heavy syrup pack, solids and liquids",107.0,0.38,0.1,27.9,71.4,0.28,,97.0,10.0,1.0
"Figs, canned, heavy syrup pack, solids and liquids",88.0,0.38,0.1,22.9,76.3,0.29,2.2,99.0,10.0,1.0
"Figs, canned, light syrup pack, solids and liquids",69.0,0.39,0.1,18.0,81.3,0.3,1.8,102.0,10.0,1.0
"Figs, canned, water pack, solids and liquids",53.0,0.4,0.1,14.0,85.2,0.3,2.2,103.0,10.0,1.0
"Figs, dried, stewed",107.0,1.42,0.4,27.6,69.8,0.8,4.2,294.0,29.0,4.0
"Figs, dried, uncooked",249.0,3.3,0.93,63.9,30.0,1.86,9.8,680.0,68.0,10.0
"Figs, raw",74.0,0.75,0.3,19.2,79.1,0.66,2.9,232.0,17.0,1.0
"Goji berries, dried",349.0,14.3,0.39,77.1,7.5,0.78,13.0,,,298.0
"Gooseberries, canned, light syrup pack, solids and liquids",73.0,0.65,0.2,18.8,80.1,0.29,2.4,77.0,6.0,2.0
"Gooseberries, raw",44.0,0.88,0.58,10.2,87.9,0.49,4.3,198.0,10.0,1.0
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",60.0,0.37,0.13,14.8,84.5,0.22,0.2,104.0,10.0,5.0
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",62.0,0.37,0.13,14.8,84.5,0.22,0.2,104.0,10.0,5.0
"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",60.0,0.37,0.13,14.8,84.5,0.22,0.2,104.0,10.0,5.0
"Grapefruit juice, pink or red, with added calcium",39.0,0.51,0.68,7.74,90.8,0.29,0.3,132.0,9.0,2.0
"Grapefruit juice, pink, raw",39.0,0.5,0.1,9.2,90.0,0.2,,162.0,12.0,1.0
"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",37.0,0.54,0.64,7.51,91.0,0.29,0.6,142.0,9.0,2.0
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,0.66,7.54,91.0,0.29,0.6,141.0,9.0,2.0
"Grapefruit juice, white, canned, sweetened",46.0,0.58,0.09,11.1,87.4,0.82,0.1,162.0,10.0,2.0
"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",41.0,0.55,0.13,9.73,89.3,0.28,0.1,136.0,11.0,1.0
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",146.0,1.97,0.48,34.6,62.0,0.99,0.4,484.0,38.0,3.0
"Grapefruit juice, white, raw",39.0,0.5,0.1,9.2,90.0,0.2,0.1,162.0,12.0,1.0
"Grapefruit, raw, pink and red and white, all areas",32.0,0.63,0.1,8.08,90.9,0.31,1.1,139.0,8.0,0.0
"Grapefruit, raw, pink and red, all areas",42.0,0.77,0.14,10.7,88.1,0.36,1.6,135.0,9.0,0.0
"Grapefruit, raw, pink and red, California and Arizona",37.0,0.5,0.1,9.69,89.3,0.4,,147.0,9.0,1.0
"Grapefruit, raw, pink and red, Florida",30.0,0.55,0.1,7.5,91.6,0.29,1.1,127.0,8.0,0.0
"Grapefruit, raw, white, all areas",33.0,0.69,0.1,8.41,90.5,0.33,1.1,148.0,9.0,0.0
"Grapefruit, raw, white, California",37.0,0.88,0.1,9.09,89.6,0.35,,143.0,9.0,0.0
"Grapefruit, raw, white, Florida",32.0,0.63,0.1,8.19,90.8,0.32,,150.0,9.0,0.0
"Grapefruit, sections, canned, juice pack, solids and liquids",37.0,0.7,0.09,9.21,89.7,0.34,0.4,169.0,11.0,7.0
"Grapefruit, sections, canned, light syrup pack, solids and liquids",60.0,0.56,0.1,15.4,83.6,0.31,0.4,129.0,10.0,2.0
"Grapefruit, sections, canned, water pack, solids and liquids",36.0,0.58,0.1,9.15,89.8,0.32,0.4,132.0,10.0,2.0
"Grapes, american type (slip skin), raw",67.0,0.63,0.35,17.2,81.3,0.57,0.9,191.0,5.0,2.0
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",76.0,0.48,0.1,19.6,79.5,0.24,0.6,103.0,6.0,5.0
"Grapes, canned, thompson seedless, water pack, solids and liquids",40.0,0.5,0.11,10.3,88.8,0.25,0.6,107.0,6.0,6.0
"Grapes, muscadine, raw",57.0,0.81,0.47,13.9,84.3,0.5,3.9,203.0,14.0,1.0
"Grapes, red or green (European type, such as Thompson seedless), raw",69.0,0.72,0.16,18.1,80.5,0.48,0.9,191.0,7.0,2.0
"Groundcherries, (cape-gooseberries or poha), raw",53.0,1.9,0.7,11.2,85.4,0.8,,,,
"Guanabana nectar, canned",59.0,0.11,0.17,14.9,84.7,0.08,0.1,25.0,3.0,8.0
"Guava nectar, canned, with added ascorbic acid",63.0,0.09,0.06,16.2,83.5,0.09,1.0,39.0,2.0,6.0
"Guava nectar, with sucralose, canned",48.0,0.3,0.07,13.3,86.2,0.09,1.2,33.0,2.0,6.0
"Guava sauce, cooked",36.0,0.32,0.14,9.48,89.6,0.5,3.6,225.0,7.0,4.0
"Guavas, common, raw",68.0,2.55,0.95,14.3,80.8,1.39,5.4,417.0,22.0,2.0
"Guavas, strawberry, raw",69.0,0.58,0.6,17.4,80.7,0.8,5.4,292.0,17.0,37.0
Horned melon (Kiwano),44.0,1.78,1.26,7.56,89.0,0.44,,123.0,40.0,2.0
"Jackfruit, canned, syrup pack",92.0,0.36,0.14,23.9,75.3,0.28,0.9,96.0,10.0,11.0
"Jackfruit, raw",95.0,1.72,0.64,23.2,73.5,0.94,1.5,448.0,29.0,2.0
"Java-plum, (jambolan), raw",60.0,0.72,0.23,15.6,83.1,0.36,,79.0,15.0,14.0
"Juice, apple and grape blend, with added ascorbic acid",50.0,0.16,0.12,12.5,87.0,0.22,0.2,96.0,7.0,7.0
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",52.0,0.17,0.12,13.0,86.4,0.31,0.2,89.0,6.0,5.0
"Jujube, Chinese, fresh, dried",281.0,4.72,0.5,72.5,20.2,2.08,6.0,217.0,,5.0
"Jujube, raw",79.0,1.2,0.2,20.2,77.9,0.51,,250.0,10.0,3.0
"Kiwifruit, green, raw",61.0,1.14,0.52,14.7,83.1,0.61,3.0,312.0,17.0,3.0
"Kiwifruit, ZESPRI SunGold, raw",63.0,1.02,0.28,15.8,82.4,0.47,1.4,315.0,12.0,3.0
"Kumquats, raw",71.0,1.88,0.86,15.9,80.8,0.52,6.5,186.0,20.0,10.0
"Lemon juice from concentrate, bottled, CONCORD",24.0,0.4,0.07,5.37,94.0,0.19,,112.0,6.0,29.0
"Lemon juice from concentrate, bottled, REAL LEMON",17.0,0.47,0.07,5.66,93.6,0.23,0.7,109.0,6.0,26.0
"Lemon juice from concentrate, canned or bottled",17.0,0.45,0.07,5.62,93.6,0.22,0.7,109.0,7.0,24.0
"Lemon juice, raw",22.0,0.35,0.24,6.9,92.3,0.21,0.3,103.0,6.0,1.0
"Lemon peel, raw",47.0,1.5,0.3,16.0,81.6,0.6,10.6,160.0,15.0,6.0
"Lemons, raw, without peel",29.0,1.1,0.3,9.32,89.0,0.3,2.8,138.0,8.0,2.0
"Lime juice, canned or bottled, unsweetened",21.0,0.25,0.23,6.69,92.5,0.31,0.4,75.0,7.0,16.0
"Lime juice, raw",25.0,0.42,0.07,8.42,90.8,0.31,0.4,117.0,8.0,2.0
"Limes, raw",30.0,0.7,0.2,10.5,88.3,0.3,2.8,102.0,6.0,2.0
"Litchis, dried",277.0,3.8,1.2,70.7,22.3,2.0,4.6,1110.0,42.0,3.0
"Litchis, raw",66.0,0.83,0.44,16.5,81.8,0.44,1.3,171.0,10.0,1.0
"Loganberries, frozen",55.0,1.52,0.31,13.0,84.6,0.54,5.3,145.0,21.0,1.0
"Longans, dried",286.0,4.9,0.4,74.0,17.6,3.1,,658.0,46.0,48.0
"Longans, raw",60.0,1.31,0.1,15.1,82.8,0.7,1.1,266.0,10.0,0.0
"Loquats, raw",47.0,0.43,0.2,12.1,86.7,0.5,1.7,266.0,13.0,1.0
"Mammy-apple, (mamey), raw",51.0,0.5,0.5,12.5,86.2,0.3,3.0,47.0,16.0,15.0
"Mango nectar, canned",51.0,0.11,0.06,13.1,86.6,0.08,0.3,24.0,3.0,5.0
"Mango, dried, sweetened",319.0,2.45,1.18,78.6,16.6,1.19,2.4,279.0,20.0,162.0
"Mangos, raw",60.0,0.82,0.38,15.0,83.5,0.36,1.6,168.0,10.0,1.0
"Mangosteen, canned, syrup pack",73.0,0.41,0.58,17.9,80.9,0.16,1.8,48.0,13.0,7.0
"Maraschino cherries, canned, drained",165.0,0.22,0.21,42.0,57.3,0.34,3.2,21.0,4.0,4.0
"Melon balls, frozen",33.0,0.84,0.25,7.94,90.3,0.71,0.7,280.0,14.0,31.0
"Melons, cantaloupe, raw",34.0,0.84,0.19,8.16,90.2,0.65,0.9,267.0,12.0,16.0
"Melons, casaba, raw",28.0,1.11,0.1,6.58,91.8,0.36,0.9,182.0,11.0,9.0
"Melons, honeydew, raw",36.0,0.54,0.14,9.09,89.8,0.41,0.8,228.0,10.0,18.0
"Mulberries, raw",43.0,1.44,0.39,9.8,87.7,0.69,1.7,194.0,18.0,10.0
"Nance, canned, syrup, drained",95.0,0.56,1.28,22.8,74.8,0.52,7.0,194.0,16.0,8.0
"Nance, frozen, unsweetened",73.0,0.66,1.16,17.0,80.6,0.57,7.5,244.0,20.0,3.0
"Naranjilla (lulo) pulp, frozen, unsweetened",25.0,0.44,0.22,5.9,93.0,0.39,1.1,200.0,11.0,4.0
"Nectarines, raw",44.0,1.06,0.32,10.6,87.6,0.48,1.7,201.0,9.0,0.0
"Oheloberries, raw",28.0,0.38,0.22,6.84,92.3,0.26,,38.0,6.0,1.0
"Olives, pickled, canned or bottled, green",145.0,1.03,15.3,3.84,75.3,4.53,3.3,42.0,11.0,1560.0
"Olives, ripe, canned (jumbo-super colossal)",81.0,0.97,6.87,5.61,84.3,2.22,2.5,9.0,4.0,735.0
"Olives, ripe, canned (small-extra large)",116.0,0.84,10.9,6.04,80.0,2.23,1.6,8.0,4.0,735.0
"Orange juice, canned, unsweetened",47.0,0.68,0.15,11.0,87.7,0.43,0.3,184.0,10.0,4.0
"Orange juice, chilled, includes from concentrate",49.0,0.68,0.12,11.5,87.2,0.43,0.3,178.0,11.0,2.0
"Orange juice, chilled, includes from concentrate, with added calcium",47.0,0.68,0.12,11.3,87.2,0.71,0.3,178.0,11.0,2.0
"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",47.0,0.68,0.12,11.3,87.2,0.71,0.3,178.0,11.0,2.0
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",49.0,0.68,0.12,11.5,87.2,0.43,0.3,178.0,11.0,2.0
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",37.0,0.6,0.06,8.8,90.1,0.47,0.2,158.0,10.0,4.0
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",37.0,0.6,0.06,8.47,90.1,0.81,0.2,158.0,10.0,4.0
"Orange juice, frozen concentrate, unsweetened, undiluted",148.0,2.4,0.25,35.2,60.6,1.6,1.0,629.0,35.0,7.0
"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",147.0,2.4,0.25,33.9,60.6,2.92,1.0,629.0,35.0,7.0
"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",45.0,0.7,0.2,10.4,88.3,0.4,0.2,200.0,11.0,1.0
"Orange peel, raw",97.0,1.5,0.2,25.0,72.5,0.8,10.6,212.0,22.0,3.0
Orange Pineapple Juice Blend,51.0,0.41,0.08,12.2,87.2,0.35,0.2,150.0,10.0,4.0
"Orange-grapefruit juice, canned or bottled, unsweetened",43.0,0.6,0.1,10.3,88.6,0.39,0.1,158.0,10.0,3.0
"Oranges, raw, all commercial varieties",47.0,0.94,0.12,11.8,86.8,0.44,2.4,181.0,10.0,0.0
"Oranges, raw, California, valencias",49.0,1.04,0.3,11.9,86.3,0.42,2.5,179.0,10.0,0.0
"Oranges, raw, Florida",46.0,0.7,0.21,11.5,87.1,0.41,2.4,169.0,10.0,0.0
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",49.0,0.91,0.15,12.5,86.0,0.43,2.2,166.0,11.0,1.0
"Oranges, raw, with peel",63.0,1.3,0.3,15.5,82.3,0.6,4.5,196.0,14.0,2.0
"Papaya nectar, canned",57.0,0.17,0.15,14.5,85.0,0.15,0.6,31.0,3.0,5.0
"Papaya, canned, heavy syrup, drained",206.0,0.14,0.55,55.8,43.3,0.15,1.5,67.0,6.0,9.0
"Papayas, raw",43.0,0.47,0.26,10.8,88.1,0.39,1.7,182.0,21.0,8.0
"Peach nectar, canned, with added ascorbic acid",50.0,0.21,0.51,11.9,87.3,0.08,0.1,50.0,5.0,8.0
"Peach nectar, canned, with sucralose, without added ascorbic acid",49.0,0.1,0.57,11.6,87.6,0.07,0.1,30.0,4.0,11.0
"Peaches, canned, extra heavy syrup pack, solids and liquids",96.0,0.47,0.03,26.1,73.2,0.25,1.0,83.0,5.0,8.0
"Peaches, canned, extra light syrup, solids and liquids (Includes foods for USDA's Food Distribution Program)",42.0,0.4,0.1,11.1,88.2,0.24,1.0,74.0,5.0,5.0
"Peaches, canned, heavy syrup pack, solids and liquids",74.0,0.45,0.1,19.9,79.3,0.24,1.3,92.0,5.0,6.0
"Peaches, canned, heavy syrup, drained",72.0,0.52,0.18,18.4,80.6,0.26,1.2,94.0,5.0,6.0
"Peaches, canned, juice pack, solids and liquids",44.0,0.63,0.03,11.6,87.5,0.27,1.3,128.0,7.0,4.0
"Peaches, canned, light syrup pack, solids and liquids",54.0,0.45,0.03,14.6,84.7,0.25,1.3,97.0,5.0,5.0
"Peaches, canned, water pack, solids and liquids",24.0,0.44,0.06,6.11,93.1,0.27,1.3,99.0,5.0,3.0
"Peaches, dehydrated (low-moisture), sulfured, stewed",133.0,2.01,0.42,34.1,62.0,1.39,,554.0,23.0,4.0
"Peaches, dehydrated (low-moisture), sulfured, uncooked",325.0,4.89,1.03,83.2,7.5,3.39,,1350.0,57.0,10.0
"Peaches, dried, sulfured, stewed, with added sugar",103.0,1.06,0.22,26.6,71.4,0.73,2.4,292.0,12.0,2.0
"Peaches, dried, sulfured, stewed, without added sugar",77.0,1.16,0.25,19.7,78.1,0.8,2.7,320.0,13.0,2.0
"Peaches, dried, sulfured, uncooked",239.0,3.61,0.76,61.3,31.8,2.5,8.2,996.0,42.0,7.0
"Peaches, frozen, sliced, sweetened",94.0,0.63,0.13,24.0,74.7,0.53,1.8,130.0,5.0,6.0
"Peaches, spiced, canned, heavy syrup pack, solids and liquids",75.0,0.41,0.1,20.1,79.2,0.21,1.3,85.0,7.0,4.0
"Peaches, yellow, raw",39.0,0.91,0.25,9.54,88.9,0.43,1.5,190.0,9.0,0.0
"Pear nectar, canned, with added ascorbic acid",60.0,0.11,0.01,15.8,84.0,0.1,0.6,13.0,3.0,4.0
"Pear nectar, canned, without added ascorbic acid",60.0,0.11,0.01,15.8,84.0,0.1,0.6,13.0,3.0,4.0
"Pears, asian, raw",42.0,0.5,0.23,10.6,88.2,0.37,3.6,121.0,8.0,0.0
"Pears, canned, extra heavy syrup pack, solids and liquids",97.0,0.19,0.13,25.2,74.3,0.15,1.6,64.0,4.0,5.0
"Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)",47.0,0.3,0.1,12.2,87.3,0.1,1.6,45.0,5.0,2.0
"Pears, canned, heavy syrup pack, solids and liquids",74.0,0.2,0.13,19.2,80.4,0.15,1.6,65.0,4.0,5.0
"Pears, canned, heavy syrup, drained",74.0,0.24,0.18,19.1,80.4,0.15,2.7,66.0,4.0,5.0
"Pears, canned, juice pack, solids and liquids",50.0,0.34,0.07,12.9,86.5,0.19,1.6,96.0,7.0,4.0
"Pears, canned, light syrup pack, solids and liquids",57.0,0.19,0.03,15.2,84.5,0.14,1.6,66.0,4.0,5.0
"Pears, canned, water pack, solids and liquids",29.0,0.19,0.03,7.81,91.8,0.16,1.6,53.0,4.0,2.0
"Pears, dried, sulfured, stewed, with added sugar",140.0,0.86,0.29,37.1,61.2,0.51,5.8,245.0,15.0,3.0
"Pears, dried, sulfured, stewed, without added sugar",127.0,0.91,0.31,33.8,64.4,0.54,6.4,258.0,16.0,3.0
"Pears, dried, sulfured, uncooked",262.0,1.87,0.63,69.7,26.7,1.11,7.5,533.0,33.0,6.0
"Pears, raw",57.0,0.36,0.14,15.2,84.0,0.32,3.1,116.0,7.0,1.0
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",63.0,0.39,0.16,15.0,84.1,0.3,3.1,101.0,6.0,1.0
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",67.0,0.36,0.09,16.1,83.2,0.28,3.1,122.0,7.0,1.0
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",66.0,0.44,0.1,15.8,83.3,0.37,3.1,127.0,7.0,1.0
"Pears, raw, red anjou",62.0,0.33,0.14,14.9,84.2,0.35,3.0,123.0,7.0,1.0
"Persimmons, japanese, dried",274.0,1.38,0.59,73.4,23.0,1.59,14.5,802.0,31.0,2.0
"Persimmons, japanese, raw",70.0,0.58,0.19,18.6,80.3,0.33,3.6,161.0,9.0,1.0
"Persimmons, native, raw",127.0,0.8,0.4,33.5,64.4,0.9,,310.0,,1.0
"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",53.0,0.36,0.12,12.9,86.4,0.28,0.2,130.0,12.0,2.0
"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",53.0,0.36,0.12,12.9,86.4,0.28,0.2,130.0,12.0,2.0
"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",50.0,0.36,0.14,12.2,87.1,0.26,0.2,132.0,11.0,3.0
"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",51.0,0.4,0.03,12.7,86.6,0.3,0.2,132.0,14.0,1.0
"Pineapple juice, frozen concentrate, unsweetened, undiluted",179.0,1.3,0.1,44.3,53.1,1.2,0.7,472.0,35.0,3.0
"Pineapple, canned, extra heavy syrup pack, solids and liquids",83.0,0.34,0.11,21.5,77.7,0.34,0.8,102.0,15.0,1.0
"Pineapple, canned, heavy syrup pack, solids and liquids",78.0,0.35,0.11,20.2,79.0,0.34,0.8,104.0,16.0,1.0
"Pineapple, canned, juice pack, drained",60.0,0.51,0.11,15.6,83.5,0.31,1.3,124.0,15.0,1.0
"Pineapple, canned, juice pack, solids and liquids",60.0,0.42,0.08,15.7,83.5,0.3,0.8,122.0,14.0,1.0
"Pineapple, canned, light syrup pack, solids and liquids",52.0,0.36,0.12,13.4,85.7,0.35,0.8,105.0,16.0,1.0
"Pineapple, canned, water pack, solids and liquids",32.0,0.43,0.09,8.3,90.8,0.35,0.8,127.0,18.0,1.0
"Pineapple, frozen, chunks, sweetened",86.0,0.4,0.1,22.2,77.1,0.2,1.1,100.0,10.0,2.0
"Pineapple, raw, all varieties",50.0,0.54,0.12,13.1,86.0,0.22,1.4,109.0,12.0,1.0
"Pineapple, raw, extra sweet variety",51.0,0.53,0.11,13.5,85.7,0.2,1.4,108.0,12.0,1.0
