Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Babyfood, mixed fruit yogurt, strained",75.0,0.8,0.8,16.2,81.8,0.37,0.4,62.0,4.0,16.0
"Candies, soft fruit and nut squares",390.0,2.31,9.52,73.8,13.9,0.4,2.4,82.0,25.0,131.0
"Frozen novelties, fruit and juice bars",87.0,1.2,0.1,20.2,78.3,0.2,1.0,53.0,4.0,4.0
"McDONALD'S, Fruit 'n Yogurt Parfait",105.0,2.73,1.3,20.7,74.6,0.64,1.0,167.0,14.0,58.0
"Yogurt parfait, lowfat, with fruit and granola",84.0,3.36,1.01,15.9,79.0,0.8,1.1,189.0,17.0,49.0
"Yogurt, Greek, fruit, whole milk",106.0,7.33,3.0,12.3,76.8,0.56,0.0,113.0,10.0,37.0
"Beverages, Fruit flavored drink containing less than 3% fruit juice, with high vitamin C",27.0,0.0,0.0,6.67,93.2,0.1,0.0,31.0,1.0,36.0
"Fruit cocktail, canned, heavy syrup, drained",70.0,0.47,0.1,18.8,80.4,0.24,1.7,90.0,5.0,6.0
"Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD",50.0,0.63,0.36,11.5,87.2,0.28,0.6,145.0,9.0,3.0
"Fruit juice smoothie, ODWALLA, strawberry banana",48.0,0.5,0.32,11.0,87.7,0.39,0.6,201.0,14.0,2.0
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",29.0,0.0,0.0,7.35,92.5,0.15,0.0,22.0,3.0,11.0
"Babyfood, dessert, fruit pudding, orange, strained",80.0,1.1,0.9,17.7,79.8,0.6,0.6,86.0,5.0,20.0
"Babyfood, dessert, fruit pudding, pineapple, strained",81.0,1.3,0.3,20.3,77.6,0.5,0.7,81.0,9.0,0.0
"Babyfood, fortified cereal bar, fruit filling",344.0,5.43,5.3,68.6,14.0,6.64,1.7,180.0,19.0,157.0
"Babyfood, fruit and vegetable, apple and sweet potato",64.0,0.3,0.22,15.3,84.0,0.3,1.4,149.0,6.0,3.0
"Babyfood, fruit, bananas and pineapple with tapioca, junior",68.0,0.2,0.1,18.4,81.1,0.2,1.6,78.0,6.0,0.0
"Babyfood, fruit, bananas and pineapple with tapioca, strained",65.0,0.2,0.0,17.8,81.7,0.53,1.6,68.0,6.0,0.0
"Babyfood, fruit, bananas with apples and pears, strained",83.0,0.9,0.22,19.3,79.0,0.57,1.4,233.0,25.0,2.0
"Babyfood, fruit, guava and papaya with tapioca, strained",63.0,0.2,0.1,17.0,82.5,0.2,,74.0,5.0,4.0
"Babyfood, fruit, papaya and applesauce with tapioca, strained",70.0,0.2,0.1,18.9,80.6,0.2,1.4,79.0,5.0,5.0
