,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
412,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",67.0,0.36,0.09,16.1,83.2,0.28,3.1,122.0,7.0,1.0,fruit
413,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",66.0,0.44,0.1,15.8,83.3,0.37,3.1,127.0,7.0,1.0,fruit
414,"Pears, raw, red anjou",62.0,0.33,0.14,14.9,84.2,0.35,3.0,123.0,7.0,1.0,fruit
415,"Persimmons, japanese, dried",274.0,1.38,0.59,73.4,23.0,1.59,14.5,802.0,31.0,2.0,fruit
416,"Persimmons, japanese, raw",70.0,0.58,0.19,18.6,80.3,0.33,3.6,161.0,9.0,1.0,fruit
417,"Persimmons, native, raw",127.0,0.8,0.4,33.5,64.4,0.9,,310.0,,1.0,fruit
421,"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",51.0,0.4,0.03,12.7,86.6,0.3,0.2,132.0,14.0,1.0,fruit
422,"Pineapple juice, frozen concentrate, unsweetened, undiluted",179.0,1.3,0.1,44.3,53.1,1.2,0.7,472.0,35.0,3.0,fruit
429,"Pineapple, frozen, chunks, sweetened",86.0,0.4,0.1,22.2,77.1,0.2,1.1,100.0,10.0,2.0,fruit
430,"Pineapple, raw, all varieties",50.0,0.54,0.12,13.1,86.0,0.22,1.4,109.0,12.0,1.0,fruit
431,"Pineapple, raw, extra sweet variety",51.0,0.53,0.11,13.5,85.7,0.2,1.4,108.0,12.0,1.0,fruit
432,"Pineapple, raw, traditional varieties",45.0,0.55,0.13,11.8,87.2,0.27,,125.0,12.0,1.0,fruit
433,"Pitanga, (surinam-cherry), raw",33.0,0.8,0.4,7.49,90.8,0.5,,103.0,12.0,3.0,fruit
436,"Plantains, green, raw",152.0,1.25,0.07,36.7,61.1,0.92,2.2,431.0,41.0,2.0,fruit
438,"Plantains, yellow, raw",122.0,1.3,0.35,31.9,65.2,1.15,1.7,487.0,36.0,4.0,fruit
445,"Plums, dried (prunes), stewed, with added sugar",124.0,1.09,0.22,32.9,65.1,0.73,3.8,312.0,19.0,2.0,fruit
446,"Plums, dried (prunes), stewed, without added sugar",107.0,0.96,0.16,28.1,69.7,1.16,3.1,321.0,18.0,1.0,fruit
447,"Plums, dried (prunes), uncooked",240.0,2.18,0.38,63.9,30.9,2.64,7.1,732.0,41.0,2.0,fruit
448,"Plums, raw",46.0,0.7,0.28,11.4,87.2,0.37,1.4,157.0,7.0,0.0,fruit
450,"Pomegranates, raw",83.0,1.67,1.17,18.7,77.9,0.53,4.0,236.0,12.0,3.0,fruit
451,"Prickly pears, raw",41.0,0.73,0.51,9.57,87.6,1.64,3.6,220.0,85.0,5.0,fruit
457,"Pummelo, raw",38.0,0.76,0.04,9.62,89.1,0.48,1.0,216.0,6.0,1.0,fruit
458,"Quinces, raw",57.0,0.4,0.1,15.3,83.8,0.4,1.9,197.0,8.0,4.0,fruit
459,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",299.0,3.3,0.25,79.3,15.5,1.68,4.5,744.0,36.0,26.0,fruit
460,"Raisins, golden, seedless",301.0,3.28,0.2,80.0,14.9,1.61,3.3,746.0,35.0,24.0,fruit
461,"Raisins, seeded",296.0,2.52,0.54,78.5,16.6,1.89,6.8,825.0,30.0,28.0,fruit
464,"Raspberries, frozen, red, sweetened",103.0,0.7,0.16,26.2,72.8,0.24,4.4,114.0,13.0,1.0,fruit
465,"Raspberries, frozen, red, unsweetened",56.0,1.15,0.81,12.6,85.0,0.48,4.3,184.0,23.0,4.0,fruit
468,"Raspberries, raw",52.0,1.2,0.65,11.9,85.8,0.46,6.5,151.0,22.0,1.0,fruit
470,"Rhubarb, frozen, cooked, with sugar",116.0,0.39,0.05,31.2,67.8,0.56,2.0,96.0,12.0,1.0,fruit
471,"Rhubarb, frozen, uncooked",21.0,0.55,0.11,5.1,93.5,0.72,1.8,108.0,18.0,2.0,fruit
472,"Rhubarb, raw",21.0,0.9,0.2,4.54,93.6,0.76,1.8,288.0,12.0,4.0,fruit
473,"Rose-apples, raw",25.0,0.6,0.3,5.7,93.0,0.4,,123.0,5.0,0.0,fruit
474,"Roselle, raw",49.0,0.96,0.64,11.3,86.6,0.51,,208.0,51.0,6.0,fruit
475,"Rowal, raw",111.0,2.3,2.0,23.9,71.4,0.4,6.2,131.0,32.0,4.0,fruit
477,"Sapodilla, raw",83.0,0.44,1.1,20.0,78.0,0.5,5.3,193.0,12.0,12.0,fruit
478,"Sapote, mamey, raw",124.0,1.45,0.46,32.1,64.9,1.12,5.4,454.0,11.0,7.0,fruit
479,"Soursop, raw",66.0,1.0,0.3,16.8,81.2,0.7,3.3,278.0,21.0,14.0,fruit
481,"Strawberries, frozen, sweetened, sliced",96.0,0.53,0.13,25.9,73.2,0.24,1.9,98.0,7.0,3.0,fruit
482,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",35.0,0.43,0.11,9.13,90.0,0.37,2.1,148.0,11.0,2.0,fruit
483,"Strawberries, raw",32.0,0.67,0.3,7.68,91.0,0.4,2.0,153.0,13.0,1.0,fruit
484,"Sugar-apples, (sweetsop), raw",94.0,2.06,0.29,23.6,73.2,0.78,4.4,247.0,21.0,9.0,fruit
486,"Tamarinds, raw",239.0,2.8,0.6,62.5,31.4,2.7,5.1,628.0,92.0,28.0,fruit
487,"Tangerine juice, raw",43.0,0.5,0.2,10.1,88.9,0.3,0.2,178.0,8.0,1.0,fruit
491,"Tangerines, (mandarin oranges), raw",53.0,0.81,0.31,13.3,85.2,0.38,1.8,166.0,12.0,2.0,fruit
492,"Watermelon, raw",30.0,0.61,0.15,7.55,91.4,0.25,0.4,112.0,10.0,1.0,fruit
