,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
480,"Mushrooms, Chanterelle, raw",32.0,1.49,0.53,6.86,89.8,1.26,3.8,506.0,13.0,9.0,vegetable
481,"Mushrooms, enoki, raw",37.0,2.66,0.29,7.81,88.3,0.91,2.7,359.0,16.0,3.0,vegetable
482,"Mushrooms, maitake, raw",31.0,1.94,0.19,6.97,90.4,0.53,2.7,204.0,10.0,1.0,vegetable
483,"Mushrooms, morel, raw",31.0,3.12,0.57,5.1,89.6,1.58,2.8,411.0,19.0,21.0,vegetable
484,"Mushrooms, oyster, raw",33.0,3.31,0.41,6.09,89.2,1.01,2.3,420.0,18.0,18.0,vegetable
486,"Mushrooms, portabella, exposed to ultraviolet light, raw",22.0,2.11,0.35,3.87,92.8,0.85,1.3,364.0,10.0,9.0,vegetable
488,"Mushrooms, portabella, raw",22.0,2.11,0.35,3.87,92.8,0.85,1.3,364.0,,9.0,vegetable
489,"Mushrooms, shiitake, cooked, with salt",56.0,1.56,0.22,14.4,83.5,0.35,2.1,117.0,14.0,240.0,vegetable
490,"Mushrooms, shiitake, cooked, without salt",56.0,1.56,0.22,14.4,83.5,0.35,2.1,117.0,14.0,4.0,vegetable
492,"Mushrooms, shiitake, raw",34.0,2.24,0.49,6.79,89.7,0.73,2.5,304.0,20.0,9.0,vegetable
495,"Mushrooms, white, cooked, boiled, drained, with salt",28.0,2.17,0.47,5.29,91.1,0.99,2.2,356.0,12.0,238.0,vegetable
496,"Mushrooms, white, cooked, boiled, drained, without salt",28.0,2.17,0.47,5.29,91.1,0.99,2.2,356.0,12.0,2.0,vegetable
498,"Mushrooms, white, raw",22.0,3.09,0.34,3.26,92.4,0.85,1.0,318.0,9.0,5.0,vegetable
500,"Mustard greens, cooked, boiled, drained, with salt",26.0,2.56,0.47,4.51,91.8,0.69,2.0,162.0,13.0,252.0,vegetable
501,"Mustard greens, cooked, boiled, drained, without salt",26.0,2.56,0.47,4.51,91.8,0.69,2.0,162.0,13.0,9.0,vegetable
502,"Mustard greens, frozen, cooked, boiled, drained, with salt",19.0,2.27,0.25,3.11,93.8,0.57,2.8,139.0,13.0,261.0,vegetable
503,"Mustard greens, frozen, cooked, boiled, drained, without salt",19.0,2.27,0.25,3.11,93.8,0.57,2.8,139.0,13.0,25.0,vegetable
505,"Mustard greens, raw",27.0,2.86,0.42,4.67,90.7,1.36,3.2,384.0,32.0,20.0,vegetable
506,"Mustard spinach, (tendergreen), cooked, boiled, drained, with salt",16.0,1.7,0.2,2.8,94.5,0.8,2.0,285.0,7.0,250.0,vegetable
507,"Mustard spinach, (tendergreen), cooked, boiled, drained, without salt",16.0,1.7,0.2,2.8,94.5,0.8,2.0,285.0,7.0,14.0,vegetable
508,"Mustard spinach, (tendergreen), raw",22.0,2.2,0.3,3.9,92.2,1.4,2.8,449.0,11.0,21.0,vegetable
509,"New zealand spinach, cooked, boiled, drained, with salt",12.0,1.3,0.17,2.13,94.8,1.6,1.4,102.0,32.0,343.0,vegetable
510,"New Zealand spinach, cooked, boiled, drained, without salt",12.0,1.3,0.17,2.13,94.8,1.6,1.4,102.0,32.0,107.0,vegetable
511,"New Zealand spinach, raw",14.0,1.5,0.2,2.5,94.0,1.8,1.5,130.0,39.0,130.0,vegetable
512,"Nopales, cooked, without salt",15.0,1.35,0.05,3.28,94.3,1.01,2.0,195.0,47.0,20.0,vegetable
513,"Nopales, raw",16.0,1.32,0.09,3.33,94.1,1.14,2.2,257.0,52.0,21.0,vegetable
514,"Okra, cooked, boiled, drained, with salt",22.0,1.87,0.21,4.51,92.6,0.84,2.5,135.0,36.0,241.0,vegetable
515,"Okra, cooked, boiled, drained, without salt",22.0,1.87,0.21,4.51,92.6,0.84,2.5,135.0,36.0,6.0,vegetable
516,"Okra, frozen, cooked, boiled, drained, with salt",29.0,1.63,0.24,6.41,91.1,0.59,2.1,184.0,40.0,239.0,vegetable
517,"Okra, frozen, cooked, boiled, drained, without salt",29.0,1.63,0.24,6.41,91.1,0.59,2.1,184.0,40.0,3.0,vegetable
519,"Okra, raw",33.0,1.93,0.19,7.45,89.6,0.86,3.2,299.0,57.0,7.0,vegetable
523,"Onions, cooked, boiled, drained, with salt",42.0,1.36,0.19,9.56,87.9,1.03,1.4,166.0,11.0,239.0,vegetable
524,"Onions, cooked, boiled, drained, without salt",44.0,1.36,0.19,10.2,87.9,0.44,1.4,166.0,11.0,3.0,vegetable
526,"Onions, frozen, chopped, cooked, boiled, drained, with salt",26.0,0.77,0.1,6.0,92.2,0.89,1.7,108.0,6.0,248.0,vegetable
527,"Onions, frozen, chopped, cooked, boiled, drained, without salt",28.0,0.77,0.1,6.59,92.2,0.3,1.8,108.0,6.0,12.0,vegetable
529,"Onions, frozen, whole, cooked, boiled, drained, with salt",26.0,0.71,0.05,6.11,92.2,0.89,1.4,101.0,8.0,244.0,vegetable
530,"Onions, frozen, whole, cooked, boiled, drained, without salt",28.0,0.71,0.05,6.7,92.2,0.3,1.4,101.0,8.0,8.0,vegetable
