Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Vitamin D (D2 + D3),Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tyrosine,Valine,"PUFA 18:3 n-3 c,c,c (ALA)",PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol
"Fish, tilapia, raw",96.0,78.1,20.1,1.7,0.0,0.93,10.0,302.0,0.33,41.8,0.037,170.0,27.0,0.075,0.56,52.0,24.0,0.0,3.9,0.162,0.063,0.041,0.487,0.0,3.1,0.47,0.93,1.6,1.81,0.593,0.81,0.95,0.68,0.97,0.033,0.005,0.086,0.585,0.498,0.363,,50.0
"Fish, tilefish, raw",96.0,78.9,17.5,2.31,0.0,1.14,26.0,433.0,0.37,36.5,0.01,187.0,28.0,0.041,0.25,53.0,15.0,0.0,2.9,0.26,0.16,0.12,0.75,18.0,,0.515,0.806,1.42,1.61,0.518,0.683,0.767,0.591,0.902,,0.085,0.345,0.441,0.571,0.599,,50.0
"Fish, anchovy, european, raw",131.0,73.4,20.4,4.84,0.0,1.44,147.0,383.0,1.72,36.5,0.07,174.0,41.0,0.211,3.25,104.0,9.0,0.0,14.0,0.143,0.256,0.055,0.645,15.0,,0.599,0.938,1.65,1.87,0.602,0.794,0.892,0.687,1.05,,0.538,0.911,1.28,1.18,1.64,,60.0
"Fish, bass, striped, raw",97.0,79.2,17.7,2.33,0.0,1.04,15.0,256.0,0.4,36.5,0.015,198.0,40.0,0.031,0.84,69.0,9.0,0.0,2.1,0.3,0.03,0.1,0.75,27.0,,0.522,0.817,1.44,1.63,0.525,0.692,0.777,0.599,0.914,,0.169,0.585,0.507,0.66,0.784,,80.0
"Fish, cod, Atlantic, raw",82.0,81.2,17.8,0.67,0.0,1.16,16.0,413.0,0.45,33.1,0.015,203.0,32.0,0.028,0.38,54.0,7.0,1.0,2.06,0.245,0.065,0.076,0.153,12.0,0.9,0.524,0.821,1.45,1.64,0.527,0.695,0.781,0.601,0.917,,0.064,0.12,0.131,0.094,0.231,,43.0
"Fish, croaker, Atlantic, raw",104.0,78.0,17.8,3.17,0.0,1.11,15.0,345.0,0.42,36.5,0.025,210.0,40.0,0.042,0.37,56.0,15.0,0.0,4.2,0.3,0.095,0.075,0.75,12.0,0.7,0.523,0.819,1.44,1.63,0.526,0.694,0.78,0.6,0.916,,0.123,0.097,1.09,1.15,0.464,,61.0
"Fish, drum, freshwater, raw",119.0,77.3,17.5,4.93,0.0,1.08,60.0,275.0,0.66,12.6,0.7,180.0,30.0,0.232,0.9,75.0,15.0,1.0,2.35,0.3,0.17,0.07,0.75,51.0,,0.516,0.808,1.42,1.61,0.519,0.685,0.769,0.592,0.904,,0.23,0.287,1.12,2.19,1.15,,64.0
"Fish, halibut, Greenland, raw",186.0,70.3,14.4,13.8,0.0,1.0,3.0,268.0,0.4,36.5,0.012,164.0,26.0,0.03,0.66,80.0,1.0,0.0,1.5,0.42,0.08,0.06,0.25,14.0,27.4,0.423,0.662,1.17,1.32,0.425,0.561,0.63,0.485,0.74,,0.526,0.393,2.42,8.38,1.37,,46.0
"Fish, herring, Atlantic, raw",158.0,72.0,18.0,9.04,0.0,1.46,57.0,327.0,0.99,36.5,0.035,236.0,32.0,0.092,1.1,90.0,10.0,0.7,3.22,0.302,0.233,0.092,0.645,28.0,4.2,0.529,0.828,1.46,1.65,0.532,0.701,0.787,0.606,0.925,,0.709,0.862,2.04,3.74,2.13,,60.0
"Fish, herring, Pacific, raw",195.0,71.5,16.4,13.9,0.0,2.37,83.0,423.0,0.53,36.5,0.045,228.0,32.0,0.078,1.12,74.0,5.0,0.0,2.2,0.45,0.2,0.06,1.0,32.0,,0.483,0.755,1.33,1.51,0.485,0.64,0.719,0.553,0.845,,0.969,0.689,3.26,6.87,2.42,,77.0
"Fish, mackerel, Atlantic, raw",205.0,63.6,18.6,13.9,0.0,1.35,12.0,314.0,0.63,44.1,0.015,217.0,76.0,0.073,1.63,90.0,1.0,0.4,9.08,0.399,0.312,0.176,0.856,50.0,16.1,0.548,0.857,1.51,1.71,0.551,0.726,0.815,0.628,0.958,,0.898,1.4,3.26,5.46,3.35,,70.0
"Fish, mackerel, king, raw",105.0,75.8,20.3,2.0,0.0,1.28,31.0,435.0,0.56,36.5,0.005,248.0,32.0,0.026,1.78,158.0,8.0,1.6,8.59,0.442,0.476,0.1,0.839,218.0,,0.597,0.935,1.65,1.86,0.6,0.792,0.889,0.685,1.04,,0.136,0.177,0.363,0.764,0.46,,53.0
"Fish, mackerel, spanish, raw",139.0,71.7,19.3,6.3,0.0,1.27,11.0,446.0,0.49,36.5,0.014,205.0,33.0,0.055,0.44,59.0,1.0,1.6,2.3,0.4,0.17,0.13,0.75,39.0,7.3,0.568,0.889,1.57,1.77,0.571,0.753,0.846,0.651,0.994,,0.329,1.01,1.83,1.53,1.74,,76.0
"Fish, mullet, striped, raw",117.0,77.0,19.4,3.79,0.0,1.2,41.0,357.0,0.52,36.5,0.016,221.0,29.0,0.051,1.02,65.0,9.0,1.2,5.2,0.425,0.08,0.09,0.76,37.0,1.5,0.57,0.892,1.57,1.78,0.573,0.755,0.848,0.653,0.997,,0.217,0.108,1.12,1.08,0.715,,49.0
"Fish, pike, northern, raw",88.0,78.9,19.3,0.69,0.0,1.2,57.0,259.0,0.67,12.6,0.24,220.0,31.0,0.051,0.55,39.0,15.0,3.8,2.3,0.117,0.063,0.058,0.75,21.0,2.5,0.567,0.887,1.56,1.77,0.57,0.752,0.844,0.65,0.992,,0.033,0.074,0.118,0.157,0.202,,39.0
"Fish, pike, walleye, raw",93.0,79.3,19.1,1.22,0.0,1.2,110.0,389.0,0.62,12.6,0.8,210.0,30.0,0.178,1.3,51.0,15.0,0.0,2.3,0.12,0.16,0.27,0.75,21.0,,0.563,0.882,1.56,1.76,0.566,0.747,0.839,0.646,0.986,,0.086,0.225,0.249,0.294,0.447,,86.0
"Fish, pollock, Alaska, raw",76.0,82.0,17.2,0.82,0.0,1.34,12.0,331.0,0.4,,0.011,190.0,34.0,0.041,0.27,159.0,,,,,,,,,,,,,,,,,,,,0.075,0.16,0.148,0.095,0.261,0.003,61.0
"Fish, pollock, Atlantic, raw",92.0,78.2,19.4,0.98,0.0,1.41,60.0,356.0,0.47,36.5,0.015,221.0,67.0,0.05,0.46,86.0,3.0,0.0,3.27,0.287,0.185,0.047,0.358,14.0,1.0,0.572,0.896,1.58,1.79,0.576,0.759,0.852,0.656,1.0,,0.071,0.35,0.135,0.112,0.483,,71.0
"Fish, pompano, florida, raw",164.0,71.1,18.5,9.47,0.0,1.1,22.0,381.0,0.72,36.5,0.013,195.0,27.0,0.038,0.6,65.0,15.0,0.0,3.0,0.2,0.12,0.56,0.75,40.0,11.0,0.544,0.851,1.5,1.7,0.547,0.721,0.81,0.624,0.952,,0.175,0.393,3.51,2.59,1.14,,50.0
"Fish, pout, ocean, raw",79.0,81.4,16.6,0.91,0.0,1.13,10.0,400.0,1.03,36.5,0.015,200.0,13.0,0.032,0.28,61.0,7.0,0.0,2.1,0.24,0.06,0.08,0.15,12.0,,0.49,0.767,1.35,1.53,0.492,0.65,0.729,0.562,0.857,,,,0.32,0.329,0.032,,52.0
"Fish, roughy, orange, raw",76.0,75.7,16.4,0.7,0.0,1.08,9.0,167.0,0.23,66.7,0.05,107.0,17.0,0.075,1.01,72.0,26.0,0.0,1.53,0.052,0.045,0.031,0.051,21.0,,0.338,0.767,1.29,1.49,0.526,0.626,0.74,0.569,0.789,0.003,0.004,0.015,0.015,0.239,0.109,,60.0
"Fish, salmon, chinook, raw",179.0,71.6,19.9,10.4,0.0,1.33,26.0,394.0,0.44,36.5,0.015,289.0,95.0,0.041,0.25,47.0,30.0,4.0,8.42,0.4,0.113,0.054,0.75,136.0,,0.59,0.924,1.63,1.84,0.594,0.783,0.879,0.677,1.03,,1.01,0.944,3.1,4.4,2.8,,50.0
"Fish, salmon, chum, raw",120.0,75.4,20.1,3.77,0.0,1.18,11.0,429.0,0.47,36.5,0.015,283.0,22.0,0.055,0.55,50.0,4.0,0.0,7.0,0.4,0.18,0.08,0.75,30.0,,0.593,0.928,1.64,1.85,0.596,0.786,0.883,0.68,1.04,,0.233,0.394,0.84,1.54,0.898,,74.0
"Fish, salmon, pink, raw",127.0,75.5,20.5,4.4,0.0,1.52,7.0,366.0,0.39,31.4,0.011,261.0,27.0,0.063,0.38,75.0,4.0,0.0,8.0,0.611,0.105,0.08,1.03,35.0,10.9,0.543,0.954,1.56,1.76,0.577,0.845,1.07,0.742,1.1,0.045,0.182,0.333,0.81,1.35,0.811,0.034,46.0
"Fish, salmon, sockeye, raw",131.0,72.5,22.2,4.69,0.0,1.26,9.0,367.0,0.46,29.8,0.011,257.0,30.0,0.064,0.43,78.0,6.0,0.0,8.51,0.731,0.207,0.132,1.07,49.0,14.1,0.597,1.07,1.84,2.16,0.721,0.913,1.05,1.01,1.23,0.047,0.251,0.471,0.814,1.37,1.12,0.019,51.0
"Fish, shad, american, raw",197.0,68.2,16.9,13.8,0.0,1.32,47.0,384.0,0.37,36.5,0.042,272.0,30.0,0.064,0.97,51.0,15.0,0.0,8.4,0.4,0.24,0.15,0.75,32.0,4.8,0.498,0.78,1.38,1.56,0.501,0.661,0.742,0.572,0.872,,1.09,1.32,3.13,5.72,3.27,,75.0
"Fish, smelt, rainbow, raw",97.0,78.8,17.6,2.42,0.0,1.4,60.0,290.0,1.65,36.5,0.7,230.0,30.0,0.139,0.9,60.0,4.0,0.0,1.45,0.15,0.12,0.01,0.638,15.0,0.8,0.519,0.812,1.43,1.62,0.522,0.688,0.773,0.595,0.908,,0.275,0.418,0.452,0.641,0.885,,70.0
"Fish, sucker, white, raw",92.0,79.7,16.8,2.32,0.0,1.46,70.0,380.0,0.75,12.6,0.6,210.0,30.0,0.195,1.3,40.0,15.0,0.0,1.2,0.2,0.07,0.01,0.75,51.0,,0.493,0.772,1.36,1.54,0.496,0.654,0.735,0.566,0.863,,0.19,0.289,0.452,0.706,0.807,,41.0
"Fish, turbot, european, raw",95.0,77.0,16.0,2.95,0.0,2.1,18.0,238.0,0.22,36.5,0.017,129.0,51.0,0.037,0.36,150.0,8.0,1.7,2.2,0.21,0.08,0.066,0.57,11.0,,0.473,0.74,1.3,1.47,0.475,0.627,0.704,0.542,0.827,,,,0.75,0.61,0.88,,48.0
"Fish, wolffish, Atlantic, raw",96.0,79.9,17.5,2.39,0.0,1.16,6.0,300.0,0.78,36.5,0.015,200.0,30.0,0.029,0.09,85.0,5.0,0.0,2.13,0.4,0.08,0.18,0.57,113.0,,0.515,0.806,1.42,1.61,0.518,0.683,0.767,0.591,0.902,,0.307,0.316,0.365,0.837,0.845,,46.0
"Fish, catfish, channel, farmed, raw",119.0,79.1,15.2,5.94,0.0,1.05,8.0,302.0,0.48,8.2,0.015,204.0,19.0,0.032,0.23,98.0,10.0,0.0,2.1,0.154,0.083,0.02,0.67,0.0,0.2,0.334,0.678,1.15,1.39,0.445,0.607,0.688,0.506,0.738,0.054,0.017,0.057,1.31,2.57,1.12,0.052,55.0
"Fish, catfish, channel, wild, raw",95.0,80.4,16.4,2.82,0.0,0.96,14.0,358.0,0.51,12.6,0.025,209.0,23.0,0.034,0.3,43.0,10.0,0.7,1.91,0.116,0.072,0.21,0.765,15.0,12.5,0.482,0.755,1.33,1.5,0.485,0.639,0.718,0.553,0.844,,0.13,0.234,0.722,0.844,0.865,,58.0
"Fish, eel, mixed species, raw",184.0,68.3,18.4,11.7,0.0,1.41,20.0,272.0,1.62,6.5,0.035,216.0,20.0,0.023,0.5,51.0,15.0,1.8,3.5,0.067,0.04,0.15,0.24,1040.0,23.3,0.543,0.85,1.5,1.69,0.546,0.72,0.809,0.623,0.95,,0.084,0.063,2.36,7.19,0.947,,126.0
"Fish, grouper, mixed species, raw",92.0,79.2,19.4,1.02,0.0,1.17,27.0,483.0,0.48,36.5,0.014,162.0,31.0,0.02,0.89,53.0,9.0,0.0,0.313,0.3,0.005,0.07,0.75,43.0,,0.57,0.893,1.58,1.78,0.574,0.756,0.849,0.654,0.998,,0.027,0.22,0.233,0.202,0.321,,37.0
"Fish, halibut, Atlantic and Pacific, raw",91.0,80.3,18.6,1.33,0.0,1.29,7.0,435.0,0.36,45.6,0.011,236.0,23.0,0.023,0.16,68.0,12.0,0.0,6.51,0.548,0.03,0.05,0.343,20.0,4.7,0.613,0.959,1.69,1.91,0.616,0.813,0.912,0.703,1.07,0.011,0.066,0.128,0.292,0.471,0.29,,49.0
"Fish, ocean perch, Atlantic, raw",79.0,83.1,15.3,1.54,0.0,1.2,28.0,187.0,0.29,28.6,0.011,248.0,23.0,0.021,0.22,287.0,9.0,0.0,1.0,0.073,0.048,0.04,0.272,12.0,1.2,0.319,0.723,1.24,1.46,0.488,0.638,0.704,0.544,0.741,0.015,0.062,0.153,0.273,0.475,0.304,0.009,52.0
"Fish, perch, mixed species, raw",91.0,79.1,19.4,0.92,0.0,1.24,80.0,269.0,1.11,12.6,0.7,200.0,30.0,0.15,0.9,62.0,5.0,1.7,1.52,0.12,0.1,0.07,0.75,9.0,3.0,0.571,0.893,1.58,1.78,0.574,0.757,0.85,0.655,0.999,,0.079,0.174,0.185,0.152,0.368,,90.0
"Fish, roe, mixed species, raw",143.0,67.7,22.3,6.42,1.5,1.37,22.0,221.0,1.0,40.3,0.01,402.0,20.0,0.1,0.6,91.0,80.0,16.0,1.8,0.16,0.74,0.24,1.0,90.0,12.1,0.607,1.14,1.96,1.7,0.553,1.09,1.02,1.12,1.31,,0.983,1.36,1.46,1.66,2.66,,374.0
"Fish, salmon, Atlantic, farmed, raw",208.0,64.9,20.4,13.4,0.0,1.13,9.0,363.0,0.36,24.0,0.011,240.0,27.0,0.045,0.34,59.0,26.0,3.9,8.67,0.636,0.155,0.207,1.55,58.0,11.0,0.549,0.968,1.62,1.87,0.626,0.845,0.86,0.759,1.11,0.148,0.862,1.1,3.05,3.77,3.89,,55.0
"Fish, salmon, Atlantic, wild, raw",142.0,68.5,19.8,6.34,0.0,2.54,12.0,490.0,0.64,36.5,0.016,200.0,29.0,0.25,0.8,44.0,25.0,0.0,7.86,0.818,0.38,0.226,1.66,12.0,,0.584,0.914,1.61,1.82,0.587,0.775,0.87,0.67,1.02,,0.321,1.12,0.981,2.1,2.54,,55.0
"Fish, salmon, coho, farmed, raw",160.0,70.5,21.3,7.67,0.0,1.3,12.0,450.0,0.43,12.6,0.012,292.0,31.0,0.048,0.34,47.0,13.0,1.1,6.81,0.66,0.11,0.09,1.14,56.0,,0.626,0.98,1.73,1.95,0.629,0.83,0.932,0.718,1.1,,0.385,0.821,1.82,3.33,1.86,,51.0
"Fish, salmon, coho, wild, raw",146.0,72.7,21.6,5.93,0.0,1.21,36.0,423.0,0.41,36.5,0.014,262.0,31.0,0.051,0.56,46.0,9.0,1.0,7.23,0.549,0.14,0.113,0.823,40.0,9.0,0.636,0.996,1.76,1.98,0.64,0.844,0.948,0.73,1.11,,0.429,0.656,1.26,2.13,1.99,,45.0
"Fish, seatrout, mixed species, raw",104.0,78.1,16.7,3.61,0.0,1.26,17.0,341.0,0.45,36.5,0.015,250.0,31.0,0.03,0.27,58.0,5.0,0.0,2.4,0.4,0.17,0.06,0.75,30.0,,0.493,0.772,1.36,1.54,0.496,0.654,0.734,0.565,0.863,,0.165,0.207,1.01,0.884,0.725,,83.0
"Fish, shark, mixed species, raw",130.0,73.6,21.0,4.51,0.0,1.39,34.0,160.0,0.43,36.5,0.015,210.0,49.0,0.033,0.84,79.0,3.0,0.0,2.94,0.4,0.062,0.042,0.695,70.0,0.6,0.618,0.967,1.7,1.93,0.621,0.819,0.92,0.708,1.08,,0.316,0.527,0.925,1.81,1.2,,51.0
"Fish, sheefish, raw (Alaska Native)",115.0,74.6,22.2,2.84,0.0,1.58,140.0,390.0,0.6,42.3,0.037,300.0,25.0,0.148,0.5,52.0,9.0,0.0,2.12,0.162,0.126,0.041,0.648,0.0,,0.52,0.86,1.52,1.82,0.63,0.85,0.94,0.68,1.0,,0.17,0.32,0.49,1.08,0.7,,56.0
"Fish, snapper, mixed species, raw",100.0,76.9,20.5,1.34,0.0,1.31,32.0,417.0,0.36,38.2,0.013,198.0,32.0,0.028,0.18,64.0,5.0,1.6,0.284,0.4,0.003,0.046,0.75,32.0,10.2,0.604,0.945,1.67,1.88,0.607,0.801,0.899,0.692,1.06,,0.051,0.26,0.285,0.251,0.459,,37.0
"Fish, sturgeon, mixed species, raw",105.0,76.6,16.1,4.04,0.0,1.1,13.0,284.0,0.42,12.6,0.025,211.0,35.0,0.041,0.7,54.0,15.0,0.0,8.3,0.2,0.07,0.07,0.75,210.0,10.3,0.475,0.744,1.31,1.48,0.478,0.63,0.708,0.545,0.832,,0.194,0.093,0.915,1.94,0.69,,60.0
"Fish, sunfish, pumpkin seed, raw",89.0,79.5,19.4,0.7,0.0,1.1,80.0,350.0,1.55,12.6,0.7,180.0,30.0,0.3,1.2,80.0,15.0,1.0,1.2,0.12,0.07,0.08,0.75,15.0,,0.571,0.894,1.58,1.78,0.574,0.757,0.85,0.655,0.999,,0.037,0.072,0.139,0.117,0.246,,67.0
"Fish, trout, mixed species, raw",148.0,71.4,20.8,6.61,0.0,1.17,43.0,361.0,0.66,12.6,0.851,245.0,22.0,0.188,1.5,52.0,13.0,0.5,4.5,0.2,0.33,0.35,1.94,17.0,3.9,0.611,0.957,1.69,1.91,0.615,0.811,0.911,0.701,1.07,,0.202,0.528,1.15,3.25,1.5,,58.0
"Fish, trout, rainbow, farmed, raw",141.0,73.8,19.9,6.18,0.0,1.21,25.0,377.0,0.45,23.6,0.011,226.0,25.0,0.046,0.31,51.0,11.0,2.9,5.57,0.34,0.09,0.12,1.67,84.0,15.9,0.614,0.962,1.7,1.92,0.618,0.815,0.915,0.704,1.08,0.059,0.217,0.516,1.38,1.98,1.51,0.047,59.0
"Fish, trout, rainbow, wild, raw",119.0,71.9,20.5,3.46,0.0,1.31,67.0,481.0,1.08,12.6,0.158,271.0,31.0,0.109,0.7,31.0,12.0,2.4,5.38,0.406,0.105,0.123,0.928,19.0,,0.603,0.944,1.66,1.88,0.606,0.799,0.898,0.691,1.06,,0.167,0.42,0.722,1.13,1.24,,59.0
"Fish, tuna, fresh, bluefin, raw",144.0,68.1,23.3,4.9,0.0,1.18,8.0,252.0,0.6,36.5,0.015,254.0,50.0,0.086,1.02,39.0,2.0,0.0,8.65,0.455,0.251,0.241,1.05,655.0,5.7,0.687,1.08,1.9,2.14,0.69,0.911,1.02,0.787,1.2,,0.283,0.89,1.26,1.6,1.43,,38.0
"Fish, tuna, fresh, skipjack, raw",103.0,70.6,22.0,1.01,0.0,1.3,29.0,407.0,0.82,36.5,0.015,222.0,34.0,0.086,1.25,37.0,9.0,1.0,15.4,0.85,0.1,0.033,0.42,16.0,,0.648,1.01,1.79,2.02,0.651,0.859,0.964,0.743,1.13,,0.071,0.185,0.328,0.19,0.315,,47.0
"Fish, tuna, fresh, yellowfin, raw",109.0,74.0,24.4,0.49,0.0,1.64,4.0,441.0,0.37,90.6,0.011,278.0,35.0,0.036,0.77,45.0,2.0,0.0,18.5,0.933,0.115,0.118,0.28,18.0,1.7,0.688,1.08,1.9,2.15,0.692,0.913,1.02,0.789,1.2,0.002,0.012,0.088,0.172,0.116,0.147,0.016,39.0
"Fish, whitefish, mixed species, raw",134.0,72.8,19.1,5.86,0.0,1.12,26.0,317.0,0.99,12.6,0.067,270.0,33.0,0.072,0.37,51.0,15.0,0.0,3.0,0.3,0.12,0.14,0.75,36.0,12.0,0.562,0.88,1.55,1.75,0.565,0.745,0.837,0.644,0.983,,0.317,0.941,0.906,2.0,2.15,,60.0
"Fish, whiting, mixed species, raw",90.0,80.3,18.3,1.31,0.0,1.3,48.0,249.0,0.88,32.1,0.104,222.0,21.0,0.031,0.34,72.0,13.0,0.0,1.3,0.156,0.046,0.056,0.216,30.0,1.4,0.539,0.844,1.49,1.68,0.542,0.715,0.803,0.618,0.943,,0.093,0.131,0.247,0.279,0.422,,67.0
"Fish, yellowtail, mixed species, raw",146.0,74.5,23.1,5.24,0.0,1.09,23.0,420.0,0.52,36.5,0.015,157.0,30.0,0.045,0.49,39.0,4.0,2.8,6.8,0.16,0.04,0.144,0.59,29.0,,0.681,1.07,1.88,2.13,0.685,0.904,1.02,0.781,1.19,,,,1.28,1.99,1.42,,55.0
"Fish, flatfish (flounder and sole species), raw",70.0,84.6,12.4,1.93,0.0,1.22,21.0,160.0,0.32,26.6,0.014,252.0,18.0,0.019,0.18,296.0,5.0,0.0,1.04,0.098,0.02,0.022,0.185,10.0,2.8,0.304,0.614,1.09,1.27,0.455,0.508,0.585,0.479,0.651,0.017,0.137,0.108,0.441,0.535,0.374,0.011,45.0
