Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol
"Chicken, breast, boneless, skinless, raw",106,74.8,22.5,1.93,-0.368,1.13,3.94,330,0.654,,0.0,215,26.2,0.00364,0.354,65.8,0.349,0.369,0.296,0.00875,72.7
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166,65.3,32.1,3.24,0.0,1.19,6.0,343,0.96,31.9,0.012,241,32.0,0.044,0.49,47.0,1.01,1.26,0.766,0.013,116.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156,69.9,23.9,5.95,0.0,0.98,12.0,239,2.54,27.9,0.018,184,22.4,0.063,0.94,117.0,1.6,2.35,1.24,0.03,127.0
"Chicken, ground, with additives, raw",133,74.7,17.9,7.16,0.0,0.969,5.82,302,1.18,,0.00502,166,20.5,0.0362,0.593,63.0,1.56,2.17,1.38,0.021,81.7
"Chicken, thigh, boneless, skinless, raw",144,72.9,18.6,7.92,-0.406,0.958,5.65,272,1.35,,0.0,178,21.8,0.0424,0.602,62.3,1.66,2.24,1.42,0.0238,91.7
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220,61.1,27.1,11.6,0.0,1.27,31.0,304,3.77,28.4,0.01,259,29.1,0.166,1.56,90.0,2.97,3.78,3.49,0.144,104.0
"Turkey, ground, 93% lean/ 7% fat, raw",153,72.9,17.3,9.59,0.0,0.945,23.6,246,2.95,,0.0158,162,17.3,0.0762,1.09,80.2,2.26,2.87,2.59,0.081,82.3
